index,frequency_Hz,rcs_m2
154,116447821.09518778,1.0030131133163495e-09
155,118331275.42294417,1.0694925523103514e-09
156,120245193.18205827,1.1403780969002295e-09
157,122190067.09520367,1.2159617602052847e-09
158,124166397.85446437,1.2965549070478352e-09
159,126174694.2502359,1.382489536252335e-09
160,128215473.3022088,1.4741196478992253e-09
161,130289260.39247061,1.5718227011606714e-09
162,132396589.4007634,1.6760011687179086e-09
163,134538002.84192362,1.7870841941565648e-09
164,136714052.00555024,1.9055293591608515e-09
165,138925297.09792927,2.0318245677780022e-09
166,141172307.3862539,2.166490055506354e-09
167,143455661.34517983,2.310080531473718e-09
168,145775946.80574566,2.463187462519132e-09
169,148133761.1067074,2.6264415085758115e-09
170,150529711.2483174,2.80051511937376e-09
171,152964414.048594,2.986125303144592e-09
172,155438496.30211288,3.1840365787170823e-09
173,157952594.94137254,3.3950641231471263e-09
174,160507357.2007668,3.620077127827786e-09
175,163103440.78320956,3.860002376882911e-09
176,165741514.02945763,4.115828062560804e-09
177,168422256.0901657,4.388607853317375e-09
178,171146357.10073093,4.679465231318129e-09
179,173914518.35896122,4.989598117192791e-09
180,176727452.5056216,5.320283801058313e-09
181,179585883.70789367,5.672884200081353e-09
182,182490547.84580913,6.0488514641952795e-09
183,185442192.70169583,6.449733953013473e-09
184,188441578.15268725,6.877182608506036e-09
185,191489476.36634985,7.332957749632131e-09
186,194586671.99946687,7.818936316849384e-09
187,197733962.4000449,8.337119596272475e-09
188,200932157.81258383,8.889641455217001e-09
189,204182081.5866671,9.478777122964903e-09
190,207484570.38892955,1.0106952552825518e-08
191,210840474.41844562,1.0776754403946195e-08
192,214250657.6256095,1.14909406838747e-08
193,217715997.9345514,1.2252452095578976e-08
194,221237387.46915105,1.3064424135520997e-08
195,224815732.7827115,1.393019999246102e-08
196,228451955.0913385,1.4853344299945288e-08
197,232146990.51110363,1.583765779893647e-08
198,235901790.29903913,1.6887192970767354e-08
199,239717321.0980302,1.8006270704576752e-08
200,243594565.18567345,1.9199498067624697e-08
201,247534520.72715035,2.047178725139282e-08
202,251538202.03220075,2.1828375771200393e-08
203,255606639.8162478,2.327484800218665e-08
204,259740881.46574616,2.4817158139983342e-08
